,AREA,ROOMS_NO,BATH_NO,PARKING_SPOTS,DETAIL_Academia,DETAIL_Ar condicionado,DETAIL_Armários na cozinha,DETAIL_Armários no quarto,DETAIL_Churrasqueira,DETAIL_Mobiliado,DETAIL_Piscina,DETAIL_Varanda,DETAIL_Área de serviço,REGION_pampulha,REGION_venda_nova,REGION_zona_centro_sul,REGION_zona_leste,REGION_zona_nordeste,REGION_zona_noroeste,REGION_zona_norte,REGION_zona_oeste,UTILS,PRICE
198,88,3,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,181,260.0
199,92,2,1,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,251,258000.0
200,44,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,950,188000.0
201,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90000.0
202,205,3,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,550,930000.0
203,180,3,3,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,950000.0
204,90,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350000.0
205,78,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290000.0
206,50,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,515,180000.0
207,115,3,2,2,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,201,595000.0
208,55,2,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1077,245000.0
209,60,3,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,351,235000.0
210,70,3,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,570,300000.0
211,60,2,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,356,235000.0
212,65,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282,200000.0
213,150,3,4,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,300,580000.0
214,75,3,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,300,370000.0
215,110,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,947000.0
216,80,3,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,36,360000.0
217,51,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,330000.0
218,55,2,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,230,245000.0
219,45,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,307,245000.0
220,55,2,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1070,245000.0
221,127,3,1,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,550000.0
222,66,3,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,275,220000.0
223,78,3,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,495000.0
224,90,2,1,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,490000.0
225,55,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,145000.0
226,64,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,240000.0
227,83,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,380,319000.0
228,45,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,370,294000.0
229,48,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,200000.0
230,43,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,245000.0
231,138,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,447000.0
232,167,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,739000.0
233,122,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,550000.0
234,45,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250000.0
235,70,3,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,481,390000.0
236,69,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,207,355000.0
237,44,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000.0
238,111,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,465000.0
239,48,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251,160000.0
